courseId,title,is_practice_test_course,quizId,type,quiz_title,quiz_date_created,quiz_isPublished,questionId,question_type,prompt,correctResponse,question_date_created
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505212,multiple-choice,"{""question"":""<p><strong>Which of the following is NOT a common post-exploitation activity?</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""","""","""",""""],""answers"":[""<p>Exfiltrating sensitive data</p>"",""<p>Increasing network bandwidth</p>"",""<p>Installing a backdoor</p>"",""<p>Gathering additional system information</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505170,multiple-choice,"{""question"":""<p><strong>What does a 'buffer overflow' exploit do?</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""","""","""",""""],""answers"":[""<p>Corrupts the memory of an application to execute arbitrary code</p>"",""<p>Overloads the server with requests until it crashes</p>"",""<p>Scans for open ports on a network</p>"",""<p>Decrypts encrypted files without a key</p>""]}","[""a""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505194,multiple-choice,"{""question"":""<p><strong>True or False: The primary goal of a rootkit is to gain unauthorized access to a computer and conceal its presence from users and security tools.</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""",""""],""answers"":[""<p>False</p>"",""<p>True</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505128,multiple-choice,"{""question"":""<p><strong>Which of the following is a tool used for advanced password cracking?</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""","""","""",""""],""answers"":[""<p>Wireshark</p>"",""<p>John the Ripper</p>"",""<p>Nessus</p>"",""<p>Snort</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505230,multiple-choice,"{""question"":""<p><strong>What is the purpose of using a sandbox environment in the context of ethical hacking?</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""","""","""",""""],""answers"":[""<p>To restrict the rights of the system administrator</p>"",""<p>To increase the processing power available</p>"",""<p>To safely test and analyze malicious code</p>"",""<p>To create a backup of the system</p>""]}","[""c""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505144,multiple-choice,"{""question"":""<p><strong>True or False: SQL injection is a technique that can be used to execute arbitrary SQL code on a database server.</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""",""""],""answers"":[""<p>True </p>"",""<p>False</p>""]}","[""a""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328986,simple-quiz,Advanced Ethical Hacking Techniques,2024-04-19,Yes,80505186,multiple-choice,"{""question"":""<p><strong>Scenario Question: You are performing a penetration test and need to maintain access to a compromised system. Which of the following tools or techniques would you use?</strong></p>"",""relatedLectureIds"":"""",""feedbacks"":["""","""","""",""""],""answers"":[""<p>Nmap</p>"",""<p>Netcat</p>"",""<p>John the Ripper</p>"",""<p>Wireshark</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328900,simple-quiz,Assess Your Knowledge on Cybersecurity Basics,2024-04-19,Yes,80504670,multiple-choice,"{""question"":""<p><strong>Identify which practice is NOT a method of safeguarding your online security.</strong></p>"",""relatedLectureIds"":[""43388908""],""feedbacks"":["""","""","""",""""],""answers"":[""<p>Using strong, complex passwords</p>"",""<p>Clicking on links in unsolicited emails</p>"",""<p>Regularly updating software</p>"",""<p>Enabling two-factor authentication</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328900,simple-quiz,Assess Your Knowledge on Cybersecurity Basics,2024-04-19,Yes,80504640,multiple-choice,"{""question"":""<p><strong>True or False: Antivirus software is enough to ensure your complete security online.</strong></p>"",""relatedLectureIds"":[""43388908""],""feedbacks"":["""",""""],""answers"":[""<p>True</p>"",""<p>False</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328900,simple-quiz,Assess Your Knowledge on Cybersecurity Basics,2024-04-19,Yes,80504656,multiple-choice,"{""question"":""<p><strong>What is a firewall used for in a network?</strong></p>"",""relatedLectureIds"":[""43388908""],""feedbacks"":["""","""","""",""""],""answers"":[""<p>Monitoring network traffic</p>"",""<p>Blocking unauthorized access while permitting outward communication</p>"",""<p>Increasing the speed of network connections</p>"",""<p>Both A and B</p>""]}","[""d""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328900,simple-quiz,Assess Your Knowledge on Cybersecurity Basics,2024-04-19,Yes,80504626,multiple-choice,"{""question"":""<p><strong>What does the term 'phishing' refer to in cybersecurity?</strong></p>"",""relatedLectureIds"":[""43388908""],""feedbacks"":["""","""","""",""""],""answers"":[""<p>A method used to catch fish</p>"",""<p>An attack that sends emails from a well-known source to obtain sensitive information</p>"",""<p>A technique to secure networks</p>"",""<p>Scanning and removing viruses from a computer</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328912,simple-quiz,Ethical Hacking Fundamentals Quiz,2024-04-19,Yes,80503624,multiple-choice,"{""question"":""<p>Why is Ethical Hacking significant in the Digital Era?</p>"",""relatedLectureIds"":[""43387472""],""feedbacks"":["""","""",""""],""answers"":[""<p>To increase cybercrime</p>"",""<p>To promote unethical behavior</p>"",""<p>To enhance cybersecurity measures</p>""]}","[""c""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328912,simple-quiz,Ethical Hacking Fundamentals Quiz,2024-04-19,Yes,80503606,multiple-choice,"{""question"":""<p>What is the main purpose of Ethical Hacking?</p>"",""relatedLectureIds"":[""43387494""],""feedbacks"":["""","""",""""],""answers"":[""<p>To gain unauthorized access to systems</p>"",""<p>To identify vulnerabilities in systems and improve security</p>"",""<p>To disrupt systems and cause harm</p>""]}","[""b""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328912,simple-quiz,Ethical Hacking Fundamentals Quiz,2024-04-19,Yes,80503620,multiple-choice,"{""question"":""<p>How has your journey in mastering Ethical Hacking impacted your understanding of cybersecurity?</p>"",""relatedLectureIds"":[""43387472""],""feedbacks"":["""","""",""""],""answers"":[""<p>It has enhanced my knowledge and skills in cybersecurity</p>"",""<p>It has not made a difference</p>"",""<p>It has made me less aware of cybersecurity concerns</p>""]}","[""a""]",2024-04-19
5932766,Mastering Ethical Hacking and AI Integration,0,6328912,simple-quiz,Ethical Hacking Fundamentals Quiz,2024-04-19,Yes,80503614,multiple-choice,"{""question"":""<p>What is the importance of navigating legal and ethical considerations in Ethical Hacking?</p>"",""relatedLectureIds"":[""43387466""],""feedbacks"":["""","""",""""],""answers"":[""<p>It is not necessary to consider legal and ethical aspects in Ethical Hacking</p>"",""<p>To ensure compliance with laws and regulations</p>"",""<p>To bypass legal restrictions</p>""]}","[""b""]",2024-04-19
