filename,file_uri,file_url,file_type,programming_language,description,access_level,assigned_agents,file_size,tags,is_active,id,created_date,updated_date,created_by_id,created_by,is_sample
"GOLDmicrotrade.mq5","private/6888ac155ebf84dd9855ea98/b5785efbf_GOLDmicrotrade.mq5","","code","metatrrader5","title,type,priority,status,assigned_agent_id,mission_parameters,progress_data,estimated_duration_hours,actual_duration_hours,deadline,completion_notes,revenue_generated,id,created_date,updated_date,created_by_id,created_by,is_sample
Improve TrendCatcherGoldBot MT5 EA,code_optimization,high,unassigned,AI-Code-Team-Alpha,""{""""code_language"""":""""MQL5"""",""""platform"""":""""MetaTrader 5"""",""""strategy"""":""""Trend Following, Signal-Based"""",""""instrument"""":""""Gold (XAUUSD)"""",""""risk_management"""":""""Capital allocation, stop loss, take profit"""",""""objective"""":""""Improve profitability, robustness, and maintain clear structure. Focus on probability calculation, error handling, dynamic SL/TP"""",""""improvement_areas"""":""""Dynamic stop loss/take profit, better probability calculation, error handling, code efficiency"""",""""current_version"""":""""1.05""""}"",""{}"",168,,""2025-09-19T17:00:00Z"",""Optimize the TrendCatcherGoldBot EA, focusing on enhanced risk management and profitability."",,code-optimize-009,2025-09-05T18:00:00Z,2025-09-05T18:00:00Z,system-mission,mission-generator,","swarm_internal","[""AI-Code-Team-Alpha"",""Financial-Analyst-Pro"",""AutomatedTrading-Bot""]","7571","[]","true","68bb18febd09b0a23db4c2aa","2025-09-05T17:08:14.304000","2025-09-08T18:12:21.446000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"mikro.mq5","private/6888ac155ebf84dd9855ea98/6f992d75d_mikro.mq5","","code","metatrrader5","","swarm_internal","[""AI-Code-Team-Alpha"",""Financial-Analyst-Pro"",""AutomatedTrading-Bot""]","11488","[]","true","68bb191a8df7bb7a81568712","2025-09-05T17:08:42.480000","2025-09-08T18:12:59.808000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Succes.mq5","private/6888ac155ebf84dd9855ea98/b88c125e2_Succes.mq5","","code","metatrrader5","","swarm_internal","[""AI-Code-Team-Alpha"",""Financial-Analyst-Pro"",""AutomatedTrading-Bot""]","5472","[]","true","68bb192c57da3045ba4d7f62","2025-09-05T17:09:00.036000","2025-09-08T18:12:38.153000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"New Document texte (6).txt","private/6888ac155ebf84dd9855ea98/fad64af97_NewDocumenttexte6.txt","","code","crypto","play...","swarm_internal","[""Researcher-Bot"",""Crypto-Analyst-Pro""]","18250","[]","true","68bb1a27eaba9547d2e33eb4","2025-09-05T17:13:11.149000","2025-09-08T18:12:46.177000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"puzzle_solver.py","private/6888ac155ebf84dd9855ea98/0da8e4259_puzzle_solver.py","","code","BTC Puzzle challenge","https://btcpuzzle.info/","swarm_internal","[""AI-Code-Team-Alpha"",""Crypto-Analyst-Pro""]","7064","[]","true","68bb1ac3163578b5630f78e9","2025-09-05T17:15:47.899000","2025-09-08T18:12:51.464000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"liber.py","private/6888ac155ebf84dd9855ea98/40639b9c9_liber.py","","code","python","liber_primus_transliterated","swarm_internal","[]","1093","[]","true","68bb1b43eaba9547d2e3aa24","2025-09-05T17:17:55.754000","2025-09-05T17:17:55.754000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"BinanceGet-Release.py","private/6888ac155ebf84dd9855ea98/74fbda0b6_BinanceGet-Release.py","","code","python","https://teletype.in/@ar1hant/binanceget_en","swarm_internal","[]","30458","[]","true","68bb1c7c196a3484804fbfb0","2025-09-05T17:23:08.370000","2025-09-05T17:23:08.370000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"CCC_EN_20230409_435c761c97e2_Younes Tsouli.pdf","private/6888ac155ebf84dd9855ea98/ebb4ff337_CCC_EN_20230409_435c761c97e2_YounesTsouli.pdf","","documentation","","CYBERCRIME COMPLAINTTM","swarm_internal","[]","377400","[]","true","68bb1d26746456b977d90f83","2025-09-05T17:25:58.244000","2025-09-05T17:25:58.244000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Complaint has been submitted (1).eml","private/6888ac155ebf84dd9855ea98/c87785a00_Complainthasbeensubmitted1.eml","","documentation","complaint","CYBERCRIME COMPLAINT","swarm_internal","[]","8207","[]","true","68bb1d50796f194d40a3cbde","2025-09-05T17:26:40.614000","2025-09-05T17:26:40.614000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"fcda7fba5a9a5c545e9a56de0f98f0730f106347ea4716b5457a35d17bb541ad_en_usd.pdf","private/6888ac155ebf84dd9855ea98/1002087d8_fcda7fba5a9a5c545e9a56de0f98f0730f106347ea4716b5457a35d17bb541ad_en_usd.pdf","","documentation","complaint","","swarm_internal","[]","72424","[]","true","68bb1d7661471234328ac370","2025-09-05T17:27:18.371000","2025-09-05T17:27:18.371000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
